userId,gender,age,counts_pictures,counts_profileVisits,counts_views,Interest_Long-term Partner,Interest_Short-term Partner,New friends,connectedToFacebook,isVIP,isVerified,city,mobile,online,Common login time
55303fc3160ba0eb728b4575,F,25,4,8279,239,True,True,True,False,False,False,Rothenburg,True,False,16:00
552e7b61c66da10d1e8b4c82,F,22,5,663,13,True,True,True,False,False,False,Sissach,True,False,18:00
54c92738076ea1b5338b4735,M,20,3,22187,1015,True,True,False,False,False,False,Sissach,False,False,4:00
54f2b4ce0b6ea1177e8b4d18,F,24,18,7339,180,True,False,True,False,False,False,Titisee-Neustadt,True,True,8:00
54ecbb39170ba08b488b4aa5,M,24,13,18672,492,False,True,False,False,False,False,Stuttgart,True,True,14:00
54fc1786170ba041758b4577,M,23,6,19091,1348,True,False,True,False,False,False,Stuttgart,True,False,23:00
550c8310066ea13f808b4b35,F,20,14,29984,2389,True,True,True,False,False,False,Gstaad,True,False,13:00
53745af3150ba023158b4588,F,24,1,5979,147,True,True,True,False,False,False,Stuttgart,False,True,7:00
53eb2d41ea6da1bb178b4aa0,M,22,3,10450,421,True,True,False,False,False,False,Bad Bellingen,True,True,19:00
5501ff6bcc6da1e21e8b45b5,M,20,5,2612,117,True,True,False,False,False,False,Basel,True,True,3:00
54ce9b6d170ba0c7548b4bef,M,20,12,32450,787,True,True,True,False,False,True,Basel,True,False,21:00
500aef252d15de2d6f00046e,M,22,4,1710,116,False,False,True,False,False,False,Emmendingen,True,False,1:00
54e238cdcb6da1706f8b4b44,F,25,13,26842,643,False,True,True,False,False,False,Rifferswil,True,False,16:00
552e5bbd066ea1933e8b490b,F,22,2,20266,1148,True,True,True,False,False,False,Rifferswil,True,False,21:00
55146fb7ea6da11d158b463a,M,20,4,16683,647,True,False,False,False,False,True,Utzenstorf,True,False,22:00
503cbfc7ca61bea1590000bf,M,25,7,3413,86,True,False,True,False,False,False,Zweisimmen,True,False,6:00
52dd7bd9c56da1966f61cfd3,M,19,13,8310,143,True,False,False,False,False,False,Härkingen,False,False,8:00
550f31ca1c0ba0785b8b4a90,F,21,1,25903,982,True,True,True,False,False,False,Bâle,True,True,14:00
550db26a086ea18e4f8b4678,M,21,27,33018,812,True,True,True,False,False,True,Marbach,True,False,10:00
54b8170ae96da129508b4b1a,F,22,15,2502,25,True,False,False,False,False,False,Maulburg,True,False,13:00
525aaeb8190ba0d743a9b637,M,24,5,22847,1282,True,False,False,False,False,True,New York,True,False,6:00
54ad5e03190ba0cb108b45d0,F,21,13,7407,125,True,True,True,False,False,False,Luzern,True,False,13:00
55336759076ea11d208b483c,F,19,30,16096,533,True,True,False,False,False,True,Oftringen,True,True,15:00
552aa2c1ea6da1bd358b4851,F,20,18,6962,361,True,True,True,False,False,False,Lörrach,True,False,16:00
550c6869160ba0f7318b4771,M,22,30,30863,1901,False,False,True,False,False,False,Frauenfeld,True,True,7:00
552025c01c0ba01e1b8b4588,M,24,3,51339,2926,True,False,False,False,False,False,Erlinsbach,True,False,0:00
5465e30f170ba051228b4c6b,M,21,7,3471,38,False,False,True,False,False,False,Wetzikon,True,True,11:00
5522e5cfca6da1791c8b4688,M,25,18,12050,478,False,True,True,False,False,False,Zug,True,False,13:00
527629ff1a0ba0b97008fc9b,M,24,12,26982,710,True,False,True,False,False,True,Emmenbrücke,False,False,18:00
55388b1bca6da1d50b8b4a45,M,24,7,1820,25,True,True,False,False,False,False,Olten,True,True,0:00
54a47c42086ea12b6b8b528c,M,22,18,11507,194,True,False,False,False,False,True,Lyssach,False,False,10:00
553157bec76da13a558b4bb3,F,21,10,17655,468,True,True,True,False,False,True,Langenthal,True,False,5:00
54df3f03180ba0542a8b47fd,M,21,11,47000,1469,True,False,False,False,False,True,"Lörrach (Baden-Württemberg, Germany)",True,False,17:00
548c21261a0ba0a85a8b4866,F,19,8,12754,368,True,True,True,False,False,False,Olten,True,True,17:00
